subject_id,candidate,status,duration_sec,NMI,jacobian_neg_ratio,inverse_consistency_mm,jacobian_fail,description,best_candidate
IXI002-Guys-0828,W1,SUCCESS,1220.9,1.1286,0.0,,False,"Affine + SyN, CC similarity (standart)",W2
IXI002-Guys-0828,W2,SUCCESS,203.6,1.1327,0.0,,False,"Affine + SyN, MI similarity (multi-modal)",W2
IXI002-Guys-0828,W3,SUCCESS,1189.9,1.1287,0.0,,False,"Affine + SyN (güçlü reg.), CC — küçük yapı overfit'ini önler",W2
IXI012-HH-1211,W1,SUCCESS,1039.3,1.0902,0.0,,False,"Affine + SyN, CC similarity (standart)",W2
IXI012-HH-1211,W2,SUCCESS,205.2,1.094,0.0,,False,"Affine + SyN, MI similarity (multi-modal)",W2
IXI012-HH-1211,W3,SUCCESS,1117.7,1.09,0.0,,False,"Affine + SyN (güçlü reg.), CC — küçük yapı overfit'ini önler",W2
IXI013-HH-1212,W1,SUCCESS,1782.7,1.0926,0.0,,False,"Affine + SyN, CC similarity (standart)",W2
IXI013-HH-1212,W2,SUCCESS,201.1,1.0958,0.0,,False,"Affine + SyN, MI similarity (multi-modal)",W2
IXI013-HH-1212,W3,SUCCESS,1455.3,1.093,0.0,,False,"Affine + SyN (güçlü reg.), CC — küçük yapı overfit'ini önler",W2
IXI015-HH-1258,W1,SUCCESS,1315.0,1.112,0.0,,False,"Affine + SyN, CC similarity (standart)",W2
IXI015-HH-1258,W2,SUCCESS,203.3,1.1152,0.0,,False,"Affine + SyN, MI similarity (multi-modal)",W2
IXI015-HH-1258,W3,SUCCESS,1148.9,1.1108,0.0,,False,"Affine + SyN (güçlü reg.), CC — küçük yapı overfit'ini önler",W2
IXI016-Guys-0697,W1,SUCCESS,1038.1,1.1053,0.0,,False,"Affine + SyN, CC similarity (standart)",W2
IXI016-Guys-0697,W2,SUCCESS,205.0,1.1054,0.0,,False,"Affine + SyN, MI similarity (multi-modal)",W2
IXI016-Guys-0697,W3,SUCCESS,1037.4,1.105,0.0,,False,"Affine + SyN (güçlü reg.), CC — küçük yapı overfit'ini önler",W2
